Elongation,True Stress
1,0
1.005,0.003
1.012,0.006747
1.015,0.011
1.024,0.013655
1.031,0.022
1.036,0.031
1.04,0.045
1.048,0.0559
1.051,0.061
1.055,0.073
1.06,0.084815
1.066,0.107
1.072,0.142958
1.078,0.168
1.084,0.216843
1.091,0.265
1.096,0.358088
1.101,0.401
1.108,0.480212
1.114,0.551
1.117,0.608
1.12,0.634771
1.126,0.723
1.132,0.83028
1.141,1
1.148,1.193
1.151,1.25
1.156,1.359666
1.162,1.517
1.168,1.668173
1.175,1.828
1.18,1.999224
1.187,2.173
1.192,2.32837
1.197,2.463
1.204,2.697434
1.21,2.881
1.216,3.056346
1.222,3.208
1.228,3.430404
1.232,3.51
1.236,3.62
1.24,3.793981
1.246,3.974
1.252,4.172532
1.26,4.386
1.264,4.513509
1.27,4.701
1.276,4.886913
1.281,5
1.288,5.212611
1.294,5.359
1.3,5.597961
1.306,5.651
1.313,5.706362
